id,product,unit,price,detail
1000,Kaisersemmel vom Vortag,,"0,10",
1001,Kaisersemmel,Stück,"0,40",aus Weizenmehl
1002,Mohnsemmeln,Stück,"0,55",aus Weizenmehl
1003,Sesamsemmeln,Stück,"0,55",aus Weizenmehl
1004,Schrippen,Stück,"0,50",aus Weizenmehl
1005,Laugensemmeln,Stück,"0,60",aus Weizenmehl
1006,Klosterer,Stück,"0,65",aus Weizenmehl
1007,Roggensemmel,Stück,"0,70",aus Roggenmehl
1008,Käsesemmel,Stück,"1,00","aus Weizenmehl, mit Gouda"
1009,Kornspitz,Stück,"0,65",Dinkelmehrkorn
1010,Laugenbrezen,Stück,"0,70",aus Weizenmehl
1011,Weltmeistersemmeln,Stück,"0,80",Mehrkorn
1012,Kürbiskernsemmeln,Stück,"0,80",Mehrkorn
1013,Hafersemmeln,Stück,"0,80",Dinkelmehrkorn
1014,Zwillingsweck,Stück,"0,80",Dinkelmehrkorn
1015,Dinkelspitz,Stück,"0,80",Dinkelmehrkorn
1016,Bauernsemmel,Stück,"1,20",Roggen u. Weizen
1020,Salzstangen,Stück,"0,60",aus Weizenmehl
1021,Mohnstangen,Stück,"0,60",aus Weizenmehl
1022,Käsestangen,Stück,"1,40","aus Weizenmehl, mit Gouda"
1023,Schinkenstangen,Stück,"1,50","aus Weizenmehl, mit Gouda"
1024,Laugenstangen,Stück,"1,00",aus Weizenmehl
1025,Laugenmohnstange,Stück,"1,10",aus Weizenmehl
1026,Laugensesamstange,Stück,"1,10",aus Weizenmehl
1027,Käselaugenstangen,Stück,"1,70",aus Weizenmehl
1028,Knusperstangen,Stück,"1,70",aus Weizenmehl
1029,Pizzazungen,Stück,"2,50","aus Weizenmehl, mit Gouda"
1950,Partylaugenstängle,Stück,"0,70",aus Weizenmehl
1951,Partylaugensemmel,Stück,"0,50",aus Weizenmehl
1952,Partykäsestängle,Stück,"1,00","aus Weizenmehl, mit Gouda"
1953,Partykaiser,Stück,"0,30",aus Weizenmehl
1954,Partymohnsemmele,Stück,"0,40",aus Weizenmehl
2001,Weißenbr. Landbrot,500 g,"1,90",75 R / 25 W mit Natursauerteig
2002,Weißenbr. Landbrot,1 kg,"3,80",75 R / 25 W mit Natursauerteig
2003,Roggenbrot,1 kg,"3,80",95 R / 5 W mit Natursauerteig
2004,Roggenbrot,"1,5 kg","5,70",95 R / 5 W mit Natursauerteig
2005,Gassenhauer,1 kg,"3,35",70 R / 30 W mit mildem Sauerteig
2006,Krustenbrot,750 g,"2,95",75 R / 25 W mit Natursauerteig
2007,AOK - Brot,1 kg,"4,80",Vollkornbrot mit Natursauerteig
2008,Frühlingsbrot,750 g,"4,20",Mehrkornmischbrot
2009,Zwiebelbrot,750 g,"4,00",
2010,Schinkenbrot,750 g,"4,50",
2014,Sonnenblumenkernbrot,750 g,"4,20",
2015,Weißbrot,500 g,"2,65",
2016,Stangenweißbrot,Stück,"2,65",
2017,Kastenweißbrot,Stück,"2,65",
2018,kleine Stangen,Stück,"1,75",
2019,Baguettesemmeln,Stück,"0,90",
2020,Dinkelmehrkornbaguette,Stück,"3,20",
2021,Brot nach Gewicht,,,
2022,Weizensemmelrad,,"15,00",
2023,Roggensemmelrad,,"22,00",
2101,Landbrot,250 g,"1,05",
2102,Landbrot,500 g,"1,90",
2103,Roggenbrot,500 g,"1,90",
2104,Roggenbrot,750 g,"2,85",
2105,Gassenhauer,500 g,"1,70",
2106,Krustenbrot,375 g,"1,50",
2107,AOK - Brot,500 g,"2,40",
2108,Frühlingsbrot,375 g,"2,10",
2109,Zwiebelbrot,375 g,"2,00",
2110,Schinkenbrot,375 g,"2,25",
2114,Sonnenblumenkernbrot,375 g,"2,10",
2115,Weißbrot,250 g,"1,35",
2116,Stangenweißbrot,halb,"1,35",
